"name","url","productCount","stock","minPrice","maxPrice","lastSeen","categories"
"Ai账号官方充值[官方认证]","https://pay.ldxp.cn/shop/PD1ENYAI","67","8959","0.5","1330","2026-08-03T00:52:11.4988320+08:00","谷歌邮箱 | 美国 +1 高权重 | 印尼 gopay | 英国GG电子卡（esim） | Chat Gpt日抛+成品 | Claude | codex接码 | Gemini | gpt 拼车 | GPT free | GPT Plus官方订阅 | GPT team | Grok | PayPal | Tiktok账号"
"gpt_plus_批发","https://pay.ldxp.cn/shop/xiamai","66","20456","0.02","155.94","2026-08-03T01:18:01.1337090+08:00","接码专区 | 邮箱专区 | ClaudeCode | Gemini | Gpt | GPT官方充值 | Grok | TG/电报/飞机/ Telegram 账号 | TikTok"
"奥特曼严选","https://pay.ldxp.cn/shop/PAXOVOVJ","65","7483","0.06","1500","2026-08-03T01:09:57.3074800+08:00","虚拟卡 | 邮箱 | claude | free | gemini | grok | K12 | plus | plus 质保正价 | pro"
"花生商店","https://pay.ldxp.cn/shop/QIGICUJS","64","3191","1.95","1150","2026-08-03T01:24:55.3832550+08:00","谷歌系列 | 接码 | Chat*** Pro | Chat***质保3～30天成品号 | Chat***PLUS直充 | Claude 充值 | G*P*T 成品号 | Gemini | team/k12"
"小柴AI","https://pay.ldxp.cn/shop/xiaochaiai","61","20653","0.4","2352","2026-08-03T01:18:01.1337090+08:00","ChatGPT | Claude code | Google /Gemini | GPT官方直冲 | GPT接码 | GPT普号 free | GROK | TG/电报/飞机/ Telegram 账号"
"即刻智联AI","https://pay.ldxp.cn/shop/ok1","60","20787","10.07","1799","2026-08-03T01:24:55.3832550+08:00","谷歌/Gemini | 接码 | 接码codex、pp和虚拟卡 | 苹果微信分身 | 手搓GPTplus，日抛周抛，看节点决定 | 邮箱 | chat gpt | Chatgpt | Chatgpt | Gemini  | Claude | Grok | ChatGPT Plus | Claude | Cursor | Gemini | gemini 成品 | gemini 充值 | gemini Pro | Gemini Pro 直充链接 | Gmini | Google | GPT | GPT代充 | Grok  充值 | Open Ai | Perplexity | Runway | TG/电报/飞机/ Telegram 账号 | TG/电报/飞机/gram 账号 | TikTok"
"稳中求胜","https://pay.ldxp.cn/shop/P98T49H8","58","12961","0.15","1450","2026-08-03T01:24:55.3832550+08:00","接码服务（codex/google） | 长效邮箱(google、outlook等) | Claude成品号/直冲 | Codex、Gpt拼车 | Cursor成品号/直冲 | Gemini、Google AI Ultra成品号/直冲 | GPT(Codex)官方充值 | gptfree成品号 | gptplus成品号 | Grok成品号/直冲 | TG/电报/飞机/tg账号"
"东北23333--承接理工科毕设【招代理，对接码在公告】","https://pay.ldxp.cn/shop/6RSH0LA6","57","8288","0.45","1399","2026-08-03T01:24:55.3832550+08:00","谷歌邮箱 | 其他邮箱 | Claude--成品 | Claude--充值 | Claude--普号 | Facebook | Gemini | GPT--半成品 | GPT--成品 | GPT--充值 | GPT--接码 | GPT--提链和支付 | GPT--Free | Instagram | TG电报 | TikTok | X"
"极速Ai","https://pay.ldxp.cn/shop/jisuai","56","5650","0.1","1360","2026-08-03T01:24:55.3832550+08:00","✅GPT 正规渠道代充 | 各类邮箱 | 接码 | Claude | Gemini | GPT Free | GPT PLUS | Grok"
"FranklyBuilds的AI小店","https://pay.ldxp.cn/shop/7LFUCYI0","56","11241","0.08","1628","2026-08-03T00:59:26.1539510+08:00","代理-学生认证相关 | 代理-邮箱 | 代理-注册机 | 代理-AI工具 | 代理-Claude成品 | 代理-Gemini | 代理-GPT 提链 | 代理-GPT FREE | 代理-GPT PLUS | 代理-GPT TEAM | 代理-KIRO | 代理-X/Grok/Twitter | 精选 - GPT K12 | 精选 - GPT PLUS 试用"
"AI源头网","https://pay.ldxp.cn/shop/aimart","55","11140","1","1700","2026-08-03T01:24:55.3832550+08:00","手机接码 | ChatGPT | Claude | Facebook | Gemini | Instagram | TG/电报/飞机/gram 账号 | TikTok | X | YouTube"
"N+AI","https://pay.ldxp.cn/shop/128","54","3346","1.47","1920.5","2026-08-03T01:24:55.3832550+08:00","高纯净度家庭住宅 IP | 跨境电商 | ChatGPT 2  日抛专区 | ChatGPT 3 周保专区 | ChatGPT 4 直充区 | claude专区 | gemini订阅 | SMS短信接码"
"LToken AI 小铺","https://pay.ldxp.cn/shop/12P8XO9Z","51","5491","0.09","1469","2026-08-03T01:24:55.3832550+08:00","接码 | Claude | cursor | Gemini 充值/成品号 | Google/Outlook邮箱 | GPT 成品号 | GPT FREE | Grok | PLUS/PRO 充值 | TG/电报/飞机/gram 账号"
"Tora-雪诺AI源头分销小铺","https://pay.ldxp.cn/shop/Tora","51","35462","0.9","1580","2026-08-03T01:28:14.9787100+08:00","教育邮箱 | ChatGPT | Claude | Cursor | Discord Shop | Gemini | Google Voice | Grok+X会员 | Perplexity | Telegram"
"冷热lab","https://pay.ldxp.cn/shop/5OFQXIM1","50","8246","0.07","1408","2026-08-03T00:59:26.1539510+08:00","家宽代理 | 接码codex、pp和虚拟卡 | 特价日抛plus 已接码 | 提链区 | 微软邮箱、谷歌邮箱账号可注册gpt、gemini等其他ai软件 | 邮箱 | 邮箱/接码类 | 邮箱类 | 源头精品成品手搓质保5-30天plus号 | 越南实卡plus | chatgpt | ChatGPT Plus | chatgpt试用提链/全自动激活 | codex接码 | gemini | Gemini pro | Gemini充值和成品 | gpt free | GPT PLUS 产品区 | GPT Tame K12 | GPT官方直充plus pro（质保一个月） | gpt系列 | GPTPLUS | K12 | paypal | plus账号密码"
"天天AI优惠","https://pay.ldxp.cn/shop/ttai","50","5552","0.1","1650","2026-08-03T01:28:14.9787100+08:00","店长主推 | 各类接码 | 谷歌邮箱 | 手搓GPTplus，日抛周抛，看节点决定 | 手搓PLUS号（点开商品看详情） | 特殊商品 | 邮箱账号 | API站-满血高缓存低倍率 | chat gpt | ChatGPT Plus | ChatGPT Pro | Claude | codex接码 | Gemini | GPT | Gpt Free | GPT PLUS/Team | gpt-plus | gpt/codex辅助验证 | GPT/K12/bugteam | GPT成品号 | GPT官方直充plus pro（质保一个月） | Grok | ip | TG/电报/飞机"
"老马AI（源头直供，招代理）","https://pay.ldxp.cn/shop/wuku","49","6838","0.39","1520","2026-08-03T01:24:55.3832550+08:00","其他AI | 邮箱和其他 | chat gpt | Claude | Cursor | Gemini | GPT | Grok"
"幻境MirageAI","https://pay.ldxp.cn/shop/mirage","48","11821","0.42","1923.37","2026-08-03T01:21:44.1927740+08:00","实体手机接码 | Claude | Cursor | Gemini | GPT-Plus-Team | Grok"
"启航AI","https://pay.ldxp.cn/shop/qihangai","48","4712","0.84","145","2026-08-03T01:09:57.3074800+08:00","【一次接码】Codex 登录验证 稳定高效 | 各类接码 | 谷歌/Gemini | 谷歌系列 | 接码 | 手搓GPTplus，日抛周抛，看节点决定 | chat gpt 成品 | chat gpt 成品号 | Chatgpt | Chatgpt plus 成品号 | Codex  GPT接码 | codex接码 | Gemini | Gemini Pro | GPT | GPT 接码 | gpt free | GPT PLUS | GPT PLUS/Team | GPT Tame K12 | gpt-plus | GPT-plus充自己号 | GPT成品号（限时） | Open Ai | plus账号密码"
"AI小店","https://pay.ldxp.cn/shop/aishop86","48","30047","0.6","145","2026-08-03T01:06:13.8323440+08:00","成品plus区 | 店长主推 | 各类接码 | 谷歌系列 | 接码 | 源头精品成品手搓质保5-30天plus号 | chatGPT | Chatgpt plus 成品号 | ChatGPT-plus-成品 | ChatGPT（成品号） | Codex 接码 | Gemini | gemini 充值 | Gemini Pro会员 | GPT | GPT 接码 | gpt free | GPT Plus | GPT PLUS/Team | GPT Tame K12 | GPT-plus充自己号 | GPT成品号（限时） | OpenAI-plus | plus账号密码"
"欧文","https://pay.ldxp.cn/shop/aione","47","6122","0.02","89.7","2026-08-03T01:06:13.8323440+08:00","墙外必备 | ChatGPT | Gemini pro 与邮箱 | Grok | TG 精养号 大会员"
"464","https://pay.ldxp.cn/shop/7HVUEC3Y","46","29411","1.25","1312.16","2026-08-03T00:59:26.1539510+08:00","直充（充自己的号） | Claude | gemini | gpt白号（free） | gpt接码 | PLUS成品"
"贝雕AI","https://pay.ldxp.cn/shop/J9AEUJ2N","46","8647","0.04","1300","2026-08-03T01:24:55.3832550+08:00","各种接码 | 各种邮箱 | 各种AI 白号 | 教程 | ChatGPT 成品号 | ChatGPT Plus/Team（成品号） | ChatGPT Pro | ChatGPT Puls/Team（代充到自己账号） | Claude Max | Claude Pro | Gemini Pro（代充到自己账号） | Gemini Pro/Ulrta（成品号） | ip | Super Grok | tg账号 | TikTok账号"
"陆柒科技","https://pay.ldxp.cn/shop/M18V0XVF","45","11546","0.25","1932","2026-08-03T01:21:44.1927740+08:00","其他普通邮箱 | Chatgpt成品+充值 | Claude | Claude充值+成品 | Codex/ChatGPT接码 | gemini 成品 | Gemini 提链+充值 | Gemini Pro会员 | Google普通邮箱"
"玩偶小铺","https://pay.ldxp.cn/shop/WOXP888","44","29653","0.16","1356","2026-08-03T01:24:55.3832550+08:00","虚拟卡（可验证Gemini3个月和gpt等） | 邮箱（outlook、gmail） | claude | Gemini pro成品 | Gemini pro直充或优惠链接 | GPT （free team plus 成品、试用CDK） | GPT plus正规充值 | GPT成品号 | pp、codex接码 | TG/电报/飞机/ Telegram 账号"
"AI福利","https://pay.ldxp.cn/shop/6KN968E0","44","9365","0.85","1280","2026-08-03T01:24:55.3832550+08:00","邮箱 | ChatGPT | Claude官充 | codex接码 | Gemini Pro会员 | grok | TG/电报/飞机"
"ai小铺888","https://pay.ldxp.cn/shop/ai888","44","23454","0.4","1290","2026-08-03T01:24:55.3832550+08:00","接码codex、pp和虚拟卡 | 微软邮箱、谷歌邮箱账号可注册gpt、gemini等其他ai软件 | 源头精品成品手搓质保5-30天plus号 | ai源头精品成品号（质保首登） | Claude充值和成品 | Gemini充值和成品 | GPT充值 | grok-全部 | TG/电报/飞机/ Telegram 账号"
